id;day;airline;destination;dest_region;dest_size;boarding_area;dept_time;wait_min;cleanliness;safety;satisfaction
1842;Monday;TURKISH AIRLINES;ISTANBUL;Middle East;Hub;Gates 91-102;2018-12-31;255,0000000000000;Average;Neutral;Somewhat satsified
1844;Monday;TURKISH AIRLINES;ISTANBUL;Middle East;Hub;Gates 91-102;2018-12-31;315,0000000000000;Somewhat clean;Somewhat safe;Somewhat satsified
1840;Monday;TURKISH AIRLINES;ISTANBUL;Middle East;Hub;Gates 91-102;2018-12-31;165,0000000000000;Average;Somewhat safe;Somewhat satsified
1837;Monday;TURKISH AIRLINES;ISTANBUL;Middle East;Hub;Gates 91-102;2018-12-31;225,0000000000000;Somewhat clean;Somewhat safe;Somewhat satsified
1833;Monday;TURKISH AIRLINES;ISTANBUL;Middle East;Hub;Gates 91-102;2018-12-31;175,0000000000000;Clean;Neutral;NA
3010;Wednesday;AMERICAN;MIAMI;East US;Hub;Gates 50-59;2018-12-31;87,9999999999998;Somewhat clean;Very safe;Somewhat satsified
1838;Monday;TURKISH AIRLINES;ISTANBUL;Middle East;Hub;Gates 91-102;2018-12-31;195,0000000000000;Somewhat clean;Very safe;Somewhat satsified
1845;Monday;TURKISH AIRLINES;ISTANBUL;Middle East;Hub;Gates 91-102;2018-12-31;135,0000000000000;Average;Somewhat safe;Somewhat satsified
2097;Monday;UNITED INTL;MEXICO CITY;Canada/Mexico;Hub;Gates 91-102;2018-12-31;145,0000000000000;Somewhat clean;Somewhat safe;Somewhat satsified
1846;Monday;TURKISH AIRLINES;ISTANBUL;Middle East;Hub;Gates 91-102;2018-12-31;145,0000000000000;Clean;Somewhat safe;Somewhat satsified
1831;Monday;TURKISH AIRLINES;ISTANBUL;Middle East;Hub;Gates 91-102;2018-12-31;285,0000000000000;Clean;Somewhat safe;Very satisfied
1848;Monday;TURKISH AIRLINES;ISTANBUL;Middle East;Hub;Gates 91-102;2018-12-31;135,0000000000000;Somewhat clean;Neutral;Somewhat satsified
1841;Monday;TURKISH AIRLINES;ISTANBUL;Middle East;Hub;Gates 91-102;2018-12-31;300,0000000000000;Clean;Very safe;Very satisfied
1835;Monday;TURKISH AIRLINES;ISTANBUL;Middle East;Hub;Gates 91-102;2018-12-31;315,0000000000000;Clean;Very safe;Very satisfied
1849;Monday;TURKISH AIRLINES;ISTANBUL;Middle East;Hub;Gates 91-102;2018-12-31;285,0000000000000;Clean;Very safe;Very satisfied
2289;Wednesday;QANTAS;SYDNEY;Australia/New Zealand;Hub;Gates 1-12;2018-12-31;165,0000000000000;Somewhat clean;Very safe;Very satisfied
977;Friday;LUFTHANSA;MUNICH;Europe;Hub;Gates 91-102;2018-12-31;475,0000000000000;Average;Neutral;Neutral
105;Tuesday;UNITED;WASHINGTON DC-DULLES;East US;Medium;Gates 70-90;2018-12-31;145,0000000000000;Average;Somewhat safe;NA
1973;Friday;CATHAY PACIFIC;HONG KONG;Asia;Hub;Gates 1-12;2018-12-31;125,0000000000000;Clean;Very safe;Very satisfied
2385;Wednesday;UNITED INTL;SYDNEY;Australia/New Zealand;Hub;Gates 91-102;2018-12-31;515,0000000000000;Somewhat clean;Very safe;Somewhat satsified
3209;Tuesday;UNITED;SANTA BARBARA;West US;Small;Gates 70-90;2018-12-31;35,0000000000000;Average;Somewhat safe;Very unsatisfied
1794;Sunday;ALASKA;RALEIGH-DURHAM;East US;Medium;Gates 50-59;2018-12-31;145,0000000000000;Somewhat clean;Very safe;Somewhat satsified
278;Thursday;UNITED;BALTIMORE;East US;Medium;Gates 70-90;2018-12-31;134,0000000000000;Somewhat clean;Somewhat safe;Neutral
517;Sunday;UNITED;FT. LAUDERDALE;East US;Large;Gates 60-69;2018-12-31;105,0000000000000;Clean;Very safe;Very satisfied
