--2024-11-15 10:30:25--  https://assets.datacamp.com/production/repositories/223/datasets/0bd5f7c30d9aec3e1f1fa677a19bee3af407453a/overfit.csv
Resolving assets.datacamp.com (assets.datacamp.com)... 104.18.43.162, 172.64.144.94
Connecting to assets.datacamp.com (assets.datacamp.com)|104.18.43.162|:443... connected.
HTTP request sent, awaiting response... 200 OK
Length: 903707 (883K)
Saving to: ‘overfit.csv’

     0K .......... .......... .......... .......... ..........  5%  560K 1s
    50K .......... .......... .......... .......... .......... 11% 1.12M 1s
   100K .......... .......... .......... .......... .......... 16% 2.28M 1s
   150K .......... .......... .......... .......... .......... 22% 2.68M 1s
   200K .......... .......... .......... .......... .......... 28% 2.91M 0s
   250K .......... .......... .......... .......... .......... 33% 4.49M 0s
   300K .......... .......... .......... .......... .......... 39% 4.08M 0s
   350K .......... .......... .......... .......... .......... 45% 4.89M 0s
   400K .......... .......... .......... .......... .......... 50% 7.60M 0s
   450K .......... .......... .......... .......... .......... 56% 6.21M 0s
   500K .......... .......... .......... .......... .......... 62% 10.7M 0s
   550K .......... .......... .......... .......... .......... 67% 9.63M 0s
   600K .......... .......... .......... .......... .......... 73% 9.72M 0s
   650K .......... .......... .......... .......... .......... 79% 9.08M 0s
   700K .......... .......... .......... .......... .......... 84% 8.38M 0s
   750K .......... .......... .......... .......... .......... 90% 6.21M 0s
   800K .......... .......... .......... .......... .......... 96% 37.1M 0s
   850K .......... .......... .......... ..                   100% 25.1M=0.3s

2024-11-15 10:30:26 (3.16 MB/s) - ‘overfit.csv’ saved [903707/903707]

