"hours_studied","attendance","extracurricular_activities","sleep_hours","tutoring_sessions","exam_score"
23,84,"No",7,0,67
19,64,"No",8,2,61
24,98,"Yes",7,2,74
29,89,"Yes",8,1,71
19,92,"Yes",6,3,70
19,88,"Yes",8,3,71
29,84,"Yes",7,1,67
25,78,"Yes",6,1,66
17,94,"No",6,0,69
23,98,"Yes",8,0,72
17,80,"No",8,4,68
17,97,"Yes",6,2,71
21,83,"Yes",8,2,70
9,82,"Yes",8,2,66
10,78,"Yes",8,1,65
17,68,"No",8,2,64
14,60,"Yes",10,0,60
22,70,"Yes",6,1,65
15,80,"Yes",9,3,67
12,75,"Yes",7,3,66
29,78,"No",5,0,69
19,99,"No",6,1,72
20,74,"No",8,1,66
11,78,"Yes",8,1,66
17,65,"Yes",5,2,63
21,62,"Yes",6,0,64
13,91,"No",6,1,65
22,83,"Yes",6,0,71
16,90,"No",4,1,66
18,66,"No",4,2,64
16,83,"No",6,0,63
31,70,"Yes",7,1,69
20,69,"Yes",8,2,67
14,60,"No",5,2,61
25,65,"No",5,2,68
13,72,"No",6,1,61
21,65,"Yes",7,2,64
8,99,"No",9,2,67
12,72,"Yes",8,1,63
21,65,"Yes",6,1,64
24,68,"No",8,3,67
21,84,"Yes",6,1,65
19,63,"No",7,1,64
18,94,"Yes",7,3,70
11,98,"Yes",9,1,68
16,70,"Yes",8,2,65
17,78,"Yes",6,1,68
26,61,"Yes",6,2,64
22,86,"Yes",7,3,68
9,77,"No",5,2,63
22,71,"Yes",7,1,64
18,68,"No",7,0,64
16,86,"Yes",8,2,67
24,77,"No",8,0,67
26,67,"Yes",7,2,66
26,88,"Yes",5,1,72
15,83,"No",5,1,65
18,94,"Yes",6,1,71
22,65,"No",8,2,66
26,91,"Yes",8,0,68
17,87,"No",7,1,70
19,65,"Yes",10,0,62
13,88,"Yes",9,2,68
13,78,"Yes",9,2,67
25,98,"Yes",8,0,71
28,66,"Yes",8,0,68
20,86,"Yes",8,1,69
26,75,"Yes",4,3,70
22,98,"No",5,1,69
16,73,"No",7,1,65
22,98,"Yes",7,3,70
29,96,"Yes",7,1,71
20,71,"Yes",7,1,65
29,92,"No",4,2,72
4,100,"Yes",8,0,69
25,70,"No",7,1,66
21,77,"Yes",7,4,68
18,81,"Yes",8,0,65
21,72,"Yes",5,1,64
8,61,"Yes",7,1,60
19,69,"Yes",7,1,65
22,71,"No",6,1,66
29,78,"Yes",4,5,74
17,67,"Yes",5,2,62
15,95,"No",7,2,70
17,88,"Yes",7,0,69
25,63,"Yes",7,3,67
22,86,"No",6,2,64
17,86,"No",5,3,71
23,98,"Yes",7,0,68
21,60,"No",7,0,64
26,70,"Yes",8,1,63
16,97,"Yes",6,0,71
18,97,"Yes",4,0,69
18,89,"Yes",4,3,100
11,91,"No",6,3,68
22,64,"No",7,1,62
22,81,"Yes",7,2,68
20,69,"Yes",6,2,66
19,67,"No",5,0,64
12,92,"No",4,2,67
17,65,"Yes",8,1,65
18,79,"Yes",7,0,65
15,98,"No",6,0,69
19,67,"No",5,1,63
22,99,"Yes",6,3,72
31,100,"No",7,2,76
21,82,"Yes",7,3,69
22,67,"Yes",7,3,67
20,73,"Yes",9,2,69
8,77,"Yes",6,0,63
20,72,"No",9,3,67
20,71,"Yes",7,2,66
35,99,"Yes",7,2,79
19,66,"No",8,1,64
22,89,"Yes",6,1,73
20,60,"No",7,2,63
13,84,"No",5,1,65
27,97,"Yes",8,0,73
25,72,"Yes",8,2,70
25,67,"No",9,2,68
15,86,"Yes",7,1,65
28,89,"Yes",9,0,71
12,88,"No",6,2,64
24,73,"Yes",8,4,68
33,70,"Yes",6,1,69
14,98,"No",7,0,69
17,97,"No",8,1,69
21,78,"Yes",10,1,67
17,94,"Yes",8,4,68
11,78,"Yes",8,2,64
20,77,"No",6,0,66
14,66,"No",7,3,63
23,77,"Yes",7,0,66
14,81,"No",9,1,66
29,61,"Yes",7,3,67
15,78,"No",9,1,65
18,91,"Yes",5,1,68
25,87,"No",9,1,68
13,85,"No",6,0,65
21,96,"No",8,2,71
28,61,"No",6,1,65
10,82,"No",8,3,64
21,91,"No",6,0,72
22,82,"No",9,2,65
25,73,"No",8,0,66
13,65,"No",6,0,61
12,96,"Yes",8,2,68
23,79,"Yes",8,3,69
22,95,"Yes",6,1,72
22,83,"Yes",5,2,71
22,87,"No",5,2,70
16,92,"Yes",5,1,68
21,86,"Yes",5,2,67
22,76,"Yes",8,1,68
16,81,"Yes",8,3,68
31,92,"Yes",4,2,72
23,75,"No",6,0,65
13,76,"No",5,2,66
24,64,"Yes",8,0,65
14,97,"Yes",6,2,67
25,64,"No",5,2,66
27,86,"No",7,1,69
15,77,"Yes",8,0,66
26,76,"Yes",6,4,69
22,87,"Yes",7,0,67
25,63,"Yes",6,1,66
31,84,"Yes",9,2,71
19,91,"No",6,5,70
15,93,"No",6,2,71
15,67,"Yes",7,1,66
15,96,"No",7,3,67
20,86,"No",8,1,66
22,95,"No",9,0,72
22,79,"No",9,1,68
25,82,"No",6,3,69
20,97,"Yes",7,2,71
29,96,"Yes",9,0,70
18,78,"No",9,2,67
36,71,"Yes",6,2,69
24,76,"No",8,2,65
15,76,"No",8,1,65
14,71,"Yes",8,2,64
23,71,"Yes",9,1,63
19,94,"Yes",5,3,69
24,63,"Yes",6,1,64
23,87,"Yes",8,0,72
20,67,"Yes",7,0,63
15,74,"Yes",4,3,64
11,62,"Yes",5,3,64
17,71,"Yes",8,5,67
25,91,"No",8,2,71
21,95,"No",5,1,70
13,69,"Yes",9,0,61
21,79,"Yes",7,2,67
22,79,"No",5,4,72
15,95,"Yes",6,1,66
21,91,"Yes",5,1,70
20,81,"Yes",6,3,67
13,87,"Yes",4,2,67
22,94,"Yes",7,2,71
23,60,"Yes",8,1,66
26,76,"Yes",5,1,68
26,96,"Yes",7,3,74
12,90,"Yes",6,1,64
14,82,"No",8,1,65
23,81,"Yes",4,1,66
23,74,"Yes",8,0,66
23,81,"No",4,2,68
43,86,"Yes",7,2,78
23,77,"Yes",6,1,67
27,89,"Yes",6,3,74
26,94,"No",5,1,74
24,66,"No",9,1,62
18,78,"Yes",5,2,66
25,76,"Yes",5,3,69
15,87,"Yes",10,2,68
19,70,"No",7,0,89
