
x,daysSinceFirstPurch, shoppingCartValue, gender, voucher, returned, boughtAgain

   1,37,33.4 ,male,0,       0,0
   2,63,31.7 ,male,1,        0,1
   3,48,27.3 ,female,0,       0,0
   4,17,41.1 ,male,0,       0,1
   5,53,65.6 ,female,0,       0,0
   6,11,38.4 ,female,0,       0,1
   7,22,39.4 ,female,0,       0,1
   8,16,105.  ,female,1,        0,1
   9,74,75.5 ,female,0,       0,0
  10,44,48.0 ,female,0,       0,1
  11,19,57.8 ,female,0,       0,1
  12,18,94.0 ,female,1,        0,0
  13,45,67.3 ,female,0,       1,0
  14,73,71.6 ,female,0,       0,0
  15, 9,25.0 ,female,0,       0,1
  16,59,136.  ,male,1,        0,1
  17,54,60.3 ,female,0,       0,1
  18,65,97.6 ,male,0,       0,1
  19,36,99.6 ,female,0,       1,1
  20,39,54.4 ,female,0,       0,1
  21,47,69.5 ,male,0,       0,1
  22,30,155.  ,male,0,       0,1
  23,47,63.8 ,male,0,       0,1
  24,38,129.  ,male,0,       0,1
  25,46,128.  ,female,0,       0,1
  26,19,122.  ,male,0,       0,0
  27,51,165.  ,male,1,        0,0
  28,16,70.9 ,female,0,       0,1
  29,10,78.5 ,male,0,       0,1
  30,35,85.3 ,male,0,       0,1
  31,45,631.  ,female,0,       0,1
  32,14,52.4 ,male,0,       1,1
  33,36,69.4 ,male,0,       0,1
  34,21,84.2 ,female,0,       0,0
  35,29,113.  ,male,0,       0,1
  36,26,87.9 ,male,0,       0,1
  37,13,62.6 ,male,0,       0,0
  38,53,64.4 ,male,0,       0,0
  39,49,62.3 ,male,0,       0,1
  40,29,632.  ,male,0,       0,1
  41,54,143.  ,female,0,       0,1
  42,20,64.0 ,female,0,       1,0
  43,47,57.6 ,male,0,       0,0
  44,35,49.1 ,male,1,        0,1
  45,19,50.0 ,female,1,        0,0
  46,68,273.  ,male,1,        0,1
  47,24,27.0 ,female,0,       0,1
  48,31,224.  ,male,0,       0,1
  49,25,56.9 ,female,1,        0,0
  50,96,421.  ,male,0,       0,1
  51,35,125.  ,female,0,       0,1
  52, 5,49.0 ,male,0,       0,1
  53,26,63.8 ,male,1,        1,0
  54,94,98.6 ,female,0,       1,1
  55,16,40.4 ,female,0,       1,1
  56,22,79.4 ,male,0,       1,0
  57,32,36.4 ,female,0,       0,0
  58,16,45.7 ,female,1,        0,0
  59,28,81.9 ,female,0,       0,1
  60,20,38.9 ,female,0,       0,1
  61,14,44.2 ,female,0,       0,0
  62,29,129.  ,female,0,       0,1
  63,24,123.  ,female,0,       1,0
  64,24,79.5 ,male,0,       0,1
  65,15,92.3 ,female,1,        0,1
  66,22,37.0 ,female,0,       0,0
  67,33,48.5 ,female,0,       0,1
  68,33,269.  ,male,0,       0,1
  69,16,53.2 ,female,0,       0,1
  70,76,104.  ,male,0,       0,1
  71,13,60.9 ,female,0,       1,0
  72, 9,62.7 ,male,0,       0,0
  73,44,193.  ,male,0,       0,1
  74,19,61.1 ,male,0,       1,0
  75,35,44.9 ,female,0,       0,1
  76,45,107.  ,male,0,       0,1
  77,17,56.1 ,female,0,       0,0
  78,36,86.0 ,male,1,        0,1
  79,27,46.3 ,female,0,       0,0
  80,15,31.6 ,male,0,       1,0
  81,65,49.9 ,female,0,       0,1
  82,24,91.9 ,male,0,       0,1
  83,21,35.8 ,male,0,       0,1
  84,39,46.8 ,female,1,        0,1
  85,27,151.  ,male,1,        0,0
  86,15,44.2 ,female,0,       1,0
