state;county;FIPS;dem_cand_votes_08;dem_percent_08;dem_cand_votes_12;dem_percent_12;dem_cand_votes_16;dem_percent_16
Alabama;Bullock;1011;4011;74,07202216066482;4061;76,30590003757986;3530;74,94692144373673
Alabama;Chilton;1021;3674;20,65785774529098;3397;19,45367082808384;2911;15,84735151614132
Alabama;Clay;1027;1760;25,81023610500073;1777;26,67367157009907;1237;18,67451690821256
Alabama;Cullman;1043;5864;16,60954539017136;5052;14,66175232898975;3798;10,02825231695403
Alabama;Escambia;1053;5188;35,35504974785334;5489;36,91573071491022;4605;31,02054563826204
Alabama;Fayette;1057;1994;25,05969586527586;1817;22,86685124590989;1362;16,51109225360650
Alabama;Franklin;1059;3469;29,66732232959891;3171;29,20158393958928;2197;18,24750830564784
Alabama;Hale;1065;4982;60,65254443632821;5411;62,60557676732616;4775;59,39054726368159
Alabama;Lamar;1075;1614;22,81272084805654;1646;22,96957856544795;1036;14,87223657766293
Alabama;Lauderdale;1077;13329;34,98057946672265;12511;33,88311125555195;9952;25,17900063251107
Alabama;Monroe;1099;5025;44,65872733736225;4914;45,89092267463579;4332;42,17700321292961
Alabama;Pike;1109;5879;42,12826943747761;6035;42,78018005245623;5056;38,39611178614824
Alabama;Shelby;1117;20625;22,75410125437154;20051;21,67511647767196;22977;22,69243684200130
Alabama;Walker;1127;7420;25,89697054306855;6557;22,99007748676414;4497;15,25855048859935
Arizona;Graham;4009;3487;29,04139252102940;3609;30,44285111767187;3301;16,25627893233527
Arkansas;Baxter;5005;6539;32,72608978529603;5172;26,74388541289622;4169;21,09177375290903
Arkansas;Benton;5007;23331;30,66922561224088;22636;28,56025335301614;28005;28,92361398000496
Arkansas;Bradley;5011;1680;41,57386785449147;1449;39,67688937568455;1317;36,05255954010402
Arkansas;Craighead;5031;11294;36,46990441746319;10527;33,20820189274448;10538;29,62359092570208
Arkansas;Dallas;5039;1471;44,33393610608800;1337;43,35278858625162;1165;42,04258390472754
Arkansas;Desha;5041;2569;54,91663103890551;2443;55,27149321266969;2228;52,33732675593141
Arkansas;Faulkner;5045;14955;36,31705480949027;13621;32,85335262904004;14629;30,78039851032045
Arkansas;Howard;5061;1746;36,02971522905489;1471;32,96727924697445;1351;28,90457851946940
Arkansas;Logan;5083;2286;28,91109143796636;2009;27,40417405538126;1715;21,65130665320035
Arkansas;Marion;5089;2384;33,28679139905055;2037;28,88951921713232;1434;20,17728999577881
Arkansas;Newton;5101;1182;29,84848484848485;993;27,12373668396613;699;18,62509992006395
California;Alameda;6001;489106;78,75735271621777;469684;78,85340523334486;514842;78,69001293052061
California;Calaveras;6009;9813;42,10503732944306;8670;39,79619939410631;7944;34,33609958506224
California;Humboldt;6023;39692;62,28443203037959;34457;59,95649904297895;33200;56,03753839921682
California;Mariposa;6043;4100;42,48264428556626;3498;38,86666666666667;3122;35,16953925875859
California;Merced;6047;34031;53,33343781344032;33005;53,18497510353385;37317;52,71581742926161
California;Modoc;6049;1313;29,70588235294118;1111;27,87255393878575;877;23,15205913410771
California;Mono;6051;3093;55,51965535810447;2733;52,75043427909670;2773;52,55875663381349
California;Napa;6055;38849;65,13698400456055;35870;62,96517343069794;39199;63,87114645115036
California;Placer;6061;75112;43,39050413905850;66818;39,00141254479868;73509;40,20422338778926
California;Riverside;6065;325017;50,21126249229491;329063;49,71438585783199;373695;49,73376045228117
California;Santa Barbara;6083;105614;60,38122027076472;94129;57,63470487386726;107142;60,60547780932879
California;Santa Clara;6085;462241;69,44841336019675;450818;70,10174298816186;511684;72,71244221688227
California;Stanislaus;6099;80279;49,85808775579915;77724;50,02542334699972;81647;47,42892660880880
California;Tulare;6107;43634;41,47482082770944;41752;41,29772502472800;47585;42,36028272829241
Colorado;Alamosa;8003;3521;56,01336302895324;3811;56,75353685778109;3189;45,95763078253351
Colorado;Arapahoe;8005;148218;55,69006718066639;153905;53,90415948668375;159885;52,75931706737591
Colorado;Cheyenne;8017;198;17,82178217821782;172;15,73650503202196;132;11,97822141560798
Colorado;Elbert;8039;3819;28,91867333030441;3603;25,41261108760051;3134;19,61446989610715
Colorado;Las Animas;8071;3562;52,68451412512943;3445;50,20402215097639;2650;39,01074635654350
Colorado;Moffat;8081;1582;26,94600579117697;1330;21,56290531776913;874;13,39463601532567
Colorado;Morgan;8087;3813;37,25815907758452;3912;36,29952676997309;3151;26,34615384615385
Colorado;Park;8093;4250;45,29468187146968;3862;41,23425154815290;3421;32,84054910242872
Colorado;Phillips;8095;622;27,52212389380531;588;25,96026490066225;436;18,69639794168096
Colorado;Rio Blanco;8103;655;20,81347314903082;568;16,85960225586227;436;12,63768115942029
Connecticut;Hartford;9003;268301;65,15560304527848;244639;62,36972261880481;240403;59,08682016595226
Connecticut;New Haven;9009;232820;60,98931468883190;218972;60,65269537374039;205609;54,24953694664464
Florida;Broward;12011;492640;67,12640295190482;508312;67,19952619040694;553320;66,50872467248672
Florida;Calhoun;12013;1821;29,16399743754004;1664;27,04811443433030;1241;20,40782765992435
Florida;Desoto;12027;4383;43,26325140657389;4174;42,31120121642169;3781;34,95100757995932
Florida;Flagler;12035;24726;50,42932022597948;23207;45,86816879138254;22026;38,30408848234006
Florida;Franklin;12037;2134;35,39558799137502;1845;33,70478626233102;1744;28,99418121363259
Florida;Hardee;12049;2568;34,64651915812196;2463;34,08524771657902;2149;28,33970723987867
Florida;Highlands;12055;18135;40,49527722573298;16148;38,04542455941947;14937;32,69491748019087
Florida;Lake;12069;62948;42,84333610116657;61799;40,97778013540127;62838;36,86334784292100
Florida;Madison;12079;4270;47,93982261142921;4176;47,91738382099827;3526;41,45796590241035
Florida;Orange;12095;273009;59,00205527856480;273665;58,68118766872731;329894;60,38973044711913
Florida;St. Johns;12109;35791;33,81485960470126;35190;30,65464523716190;43099;31,57112091067583
Florida;Walton;12131;7174;26,52517932411447;6671;23,41194637467537;6876;20,44177542587032
Georgia;Bacon;13005;817;20,74657186389030;791;20,12210633426609;608;15,12437810945273
Georgia;Clinch;13065;989;36,68397626112760;852;34,46601941747573;686;27,94297352342159
Georgia;Columbia;13073;15703;28,36985781648028;16451;27,91948814554588;18887;29,17226572756900
Georgia;Coweta;13077;15521;28,98466824777307;15168;27,30267302673027;16583;26,85723540367641
Georgia;Dawson;13085;1632;16,36254261078805;1241;12,11440843420539;1448;12,30769230769231
Georgia;Dougherty;13095;26135;67,27848427122484;26295;69,34518315356416;23311;68,38677501686861
Georgia;Fannin;13111;2611;24,66931216931217;2028;20,24558250973345;1923;16,28005418218761
Georgia;Franklin;13119;1914;23,70865849126719;1499;19,31203298119042;1243;14,62008939073159
Georgia;Houston;13153;22094;39,50224383615527;22702;39,10362408708833;22553;37,53890710564423
Georgia;Jenkins;13165;1482;43,08139534883721;1488;43,89380530973451;1123;36,74738219895288
Georgia;Lumpkin;13187;2586;23,34988713318285;2055;18,84456671251719;2220;17,86720321931589
Georgia;McDuffie;13189;3989;41,79589270746018;4044;42,16013344453711;3699;39,91152352179543
Georgia;Mitchell;13205;3872;47,68472906403941;4081;49,31722054380664;3493;44,32741116751269
Georgia;Paulding;13223;17229;30,23427217688866;15825;27,57016672764334;18025;27,77777777777778
Georgia;Pierce;13229;1253;18,45089088499485;1124;16,41834647969617;903;12,35125153877718
Georgia;Talbot;13263;2369;64,02702702702703;2265;64,88112288742481;2002;61,67590881084411
Georgia;Telfair;13271;1862;42,56973022405121;1805;41,62822878228782;1313;34,58904109589041
Georgia;Toombs;13279;2964;30,59454995871181;2746;29,38784246575342;2338;25,58546727949223
Georgia;Twiggs;13289;2402;53,15335251161761;2270;54,02189433603046;1971;48,55875831485588
Georgia;Ware;13299;4034;32,49033505154640;3900;32,66605243320211;3440;28,23374917925148
Georgia;Webster;13307;515;46,35463546354636;582;49,03117101937658;473;42,38351254480286
Georgia;Wheeler;13309;794;35,92760180995475;772;35,74074074074074;646;30,73263558515699
Hawaii;Honolulu;15003;214239;69,82722374866775;204349;68,86419852936221;175696;61,47730851324399
Hawaii;Maui;15009;39727;76,70933982119756;36052;74,10026103220767;33480;64,45278660121282
Idaho;Bingham;16011;4424;25,78839988341591;3822;21,71220814633869;2924;17,58796992481203
Idaho;Bonneville;16019;11417;27,37692731937750;9903;22,91671487746743;8930;20,19402546301531
Idaho;Camas;16025;187;30,25889967637541;159;27,50865051903114;110;18,64406779661017
Idaho;Canyon;16027;20147;31,35915076424991;19866;30,05901044030867;16883;23,19571340248677
Idaho;Custer;16037;611;25,97789115646258;530;22,53401360544218;427;17,68848384424192
Idaho;Franklin;16041;600;11,82732111176818;325;5,80357142857143;385;7,00127295871977
Idaho;Fremont;16043;1065;18,11224489795918;810;13,96070320579111;651;11,39107611548556
Idaho;Gooding;16047;1489;27,62010758671861;1287;25,14654161781946;930;17,91562319398960
Idaho;Lemhi;16059;1061;25,84652862362972;960;23,35766423357664;733;17,89550781250000
Illinois;DeKalb;17037;25784;57,53045651300817;21207;51,60858561277134;20466;46,94036697247707
Illinois;Franklin;17055;8880;47,63692934928383;7254;40,49346879535559;4727;25,26321415210304
Illinois;Grundy;17063;11063;49,89851607956339;9451;44,48785539446432;8065;34,70757843095063
Illinois;Kankakee;17091;24750;51,54531822725759;21595;47,45215232151882;18971;40,10358313074727
Illinois;McHenry;17111;72288;51,90567826061982;59797;44,67663847464213;60803;42,89453262786596
Illinois;Marshall;17123;3081;48,64992894362861;2455;41,96581196581197;1789;29,89639037433155
Illinois;Menard;17129;2706;41,86262376237624;2100;34,14079011542839;1817;27,88948580199540
Illinois;Moultrie;17139;2668;42,61980830670927;2144;35,39706125144461;1481;23,57154225688365
Illinois;Ogle;17141;11253;45,28370221327968;9514;40,71553900800274;8050;33,27408754598438
Illinois;Randolph;17157;7395;48,64491514274437;5759;40,01528627015009;3439;24,22854727349584
Illinois;Rock Island;17161;42210;61,70962412830222;39157;60,22671342438785;32298;50,47035659593087
Illinois;Wayne;17191;2547;31,55742782802627;1514;19,71354166666667;1048;12,68611548238712
Illinois;Whiteside;17195;15607;58,00564929755445;14833;57,81944336165900;11035;43,13579860839653
Illinois;Woodford;17203;6999;35,92362572499101;5572;29,52209388576878;5092;25,63431333064841
Indiana;Clark;18019;21953;45,99895233106339;20807;44,13311839816739;18808;36,77244022132285
Indiana;Hamilton;18057;49704;38,51112626293931;43796;31,99988309477361;57263;37,12205684057670
Indiana;Huntington;18069;5843;35,78515433610975;4596;29,15318744053283;3506;21,85376799850402
Indiana;LaGrange;18087;3663;38,59445790749131;2898;31,10777157578360;2080;21,74367551745766
Indiana;Newton;18111;2625;43,42431761786600;2212;39,12274495932083;1404;24,22778257118205
Indiana;Ohio;18115;1158;39,68471555860178;994;35,26073075558709;686;23,48510783978090
Indiana;Putnam;18133;6334;43,24730301788885;4507;32,59093209921180;3356;22,80665987088005
Indiana;Randolph;18135;4839;44,77239082161362;3769;36,99087250956914;2446;23,38879326831134
Indiana;Shelby;18145;6987;39,75759644930010;5359;31,97494033412888;4247;23,60231188173836
Indiana;Starke;18149;4778;50,47538559053455;3809;43,51153758281928;2489;26,97810535443313
Indiana;Vermillion;18165;4003;56,10371408549404;2979;45,26667679683938;2081;29,98991209107941
Iowa;Adair;19001;1924;47,47100912904021;1790;44,79479479479480;1133;29,72972972972973
Iowa;Appanoose;19007;2970;48,08937823834196;2951;47,25380304243394;1814;29,56323337679270
Iowa;Benton;19011;7058;51,47316219369895;6862;48,93389431648007;4678;33,79081190407397
Iowa;Butler;19023;3364;46,94390175830310;3329;44,12193505632870;2157;28,71023559164115
Iowa;Chickasaw;19037;3923;59,59289077927996;3554;54,81184454040715;2266;35,21367521367522
Iowa;Clinton;19045;15018;60,75488490634734;15141;60,56399999999999;10095;43,76381844193003
Iowa;Crawford;19047;3715;51,66179947156168;3066;45,40876777251185;1991;28,70944484498919
Iowa;Guthrie;19077;2625;44,89481785531041;2569;43,63111413043478;1732;30,12173913043478
Iowa;Harrison;19085;3555;46,91211401425178;3136;42,82982791586998;2131;28,54655056932351
Iowa;Howard;19089;2941;62,20389170896785;2768;59,59095801937567;1677;36,78438254003071
Iowa;Iowa;19095;4202;49,16920196583197;4144;46,74035641777577;3084;34,63611859838275
Iowa;Jackson;19097;6102;61,29583124058262;5907;57,67428236672525;3837;37,21629485935984
Iowa;Lee;19111;9821;57,01927542963306;10714;56,65485696155677;6215;38,48058943718655
Iowa;Muscatine;19139;10920;57,11595794759140;11323;56,99974830103196;8368;43,05855716785016
