id;country;managed_by;fulfill_via;vendor_inco_term;shipment_mode;late_delivery;late;product_group;sub_classification;vendor;item_description;molecule_test_type;brand;dosage;dosage_form;unit_of_measure_per_pack;line_item_quantity;line_item_value;pack_price;unit_price;manufacturing_site;first_line_designation;weight_kilograms;freight_cost_usd;line_item_insurance_usd
73003;Vietnam;PMO - US;Direct Drop;EXW;Air;0;No;ARV;Adult;HETERO LABS LIMITED;Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs;Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate;Generic;600/300/300mg;Tablet - FDC;30;19200;201600,00;10,50;0,35;Hetero Unit III Hyderabad IN;Yes;2719;4084,56;207,24
41222;Kenya;PMO - US;Direct Drop;EXW;Air;0;No;HRDT;HIV test;Orgenics, Ltd;HIV 1/2, Determine Complete HIV Kit, 100 Tests;HIV 1/2, Determine Complete HIV Kit;Determine;N/A;Test kit;100;6100;542900,00;89,00;0,89;Alere Medical Co., Ltd.;Yes;3497;40917,19;895,78
52354;Zambia;PMO - US;Direct Drop;EXW;Air;0;No;HRDT;HIV test;Orgenics, Ltd;HIV 1/2, Determine Complete HIV Kit, 100 Tests;HIV 1/2, Determine Complete HIV Kit;Determine;N/A;Test kit;100;1364;109120,00;80,00;0,80;Alere Medical Co., Ltd.;Yes;553;7845,09;112,18
28471;Nigeria;PMO - US;Direct Drop;EXW;Air;1;Yes;HRDT;HIV test;Orgenics, Ltd;HIV 1/2, Determine Complete HIV Kit, 100 Tests;HIV 1/2, Determine Complete HIV Kit;Determine;N/A;Test kit;100;2835;252315,00;89,00;0,89;Alere Medical Co., Ltd.;Yes;1352;31284,02;353,75
16901;Vietnam;PMO - US;Direct Drop;EXW;Air;0;No;ARV;Adult;Aurobindo Pharma Limited;Abacavir 300mg, tablets, 60 Tabs;Abacavir;Generic;300mg;Tablet;60;112;1618,40;14,45;0,24;Aurobindo Unit III, India;Yes;1701;4288,83;2,67
27238;Sudan;PMO - US;Direct Drop;EXW;Air;0;No;HRDT;HIV test;Trinity Biotech, Plc;HIV 1/2, Uni-Gold HIV Kit, 20 Tests;HIV 1/2, Uni-Gold HIV Kit;Uni-Gold;N/A;Test kit;20;53;1696,00;32,00;1,60;Trinity Biotech, Plc;Yes;18;569,11;2,80
9100;Nigeria;PMO - US;Direct Drop;EXW;Air;0;No;HRDT;HIV test;Orgenics, Ltd;HIV 1/2, Determine Complete HIV Kit, 100 Tests;HIV 1/2, Determine Complete HIV Kit;Determine;N/A;Test kit;100;1500;120000,00;80,00;0,80;Inverness Japan;Yes;445;7120,00;235,20
7183;Rwanda;PMO - US;Direct Drop;EXW;Air;0;No;HRDT;HIV test;Premier Medical Corporation Ltd.;HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit, 30 Tests;HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit;First Response;N/A;Test kit;30;6180;101970,00;16,50;0,55;Premier Med. Corp Ltd. India;Yes;2130;17331,66;163,15
16784;Vietnam;PMO - US;Direct Drop;EXW;Air;0;No;ARV;Adult;HETERO LABS LIMITED;Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs;Tenofovir Disoproxil Fumarate;Generic;300mg;Tablet;30;34640;122972,00;3,55;0,12;Hetero Unit III Hyderabad IN;Yes;2804;9759,55;152,12
75595;Haiti;PMO - US;Direct Drop;EXW;Air;0;No;MRDT;Malaria;Standard Diagnostics, Inc.;Malaria Antigen P.f , HRP2, Kit, 25 Tests;Malaria Antigen P.f , HRP2, Kit;Generic;N/A;Test kit;25;4;45,00;11,25;0,45;Standard Diagnostics, Korea;Yes;2;702,42;0,06
